SpectraSmart Spectrum 2.12.1.1	
--------- Device Information -----------	
Spectrum Name : 	??_0
Saving Time : 	2026/7/22 16:43
Spectro-Module Model Name :	EE2063-VNIR
Spectro-Module Serial Number :	OS361AC55037329
Wavelength Start :	350
Wavelength End :	1020
Wavelength Unit :	Wavelength(nm)
Spectrum Unit :	Intensity
MB Temperature(簞C) :	35.75 簞C
TEC Temperature(簞C) :	0.00 簞C
-----------Spectrum Setting ------------	
Integration Time :	2000ms
Average :	1
Boxcar :	0
Background removal :	 enabled
linearity correction :	 enabled
SC :	 disabled
Intensity correction :	 disabled
DWT denoise :	 enabled
savitzky-golay :	 disabled
FFT :	 disabled
Running average :	 disabled
Kalman :	 disabled
High pass :	 disabled
Baseline correction :	 disabled
---------------BEGIN--------------------	
609.29	28348.4
609.65	28443.99
610	28595.66
610.36	28710.88
610.71	28742.1
611.07	29050.61
611.42	28932.45
611.78	28957.84
612.13	28948.54
612.49	28969.13
612.84	29027.25
613.2	29114.86
613.55	29218.67
613.91	29297.74
614.26	29343.34
614.62	29368.57
614.97	29382.15
615.33	29397.08
615.68	29419.8
616.03	29446.46
616.39	29479.01
616.74	29521.77
617.1	29574.38
617.45	29635.3
617.81	29700.5
618.16	29762.99
618.52	29818.74
618.87	29866.88
619.22	29905.16
619.58	29932.04
619.93	29949.62
620.29	29957.97
620.64	29959.65
621	29971.48
621.35	29998.42
621.7	29998.49
622.06	29997.47
622.41	30049.8
622.76	30130.8
623.12	30091.75
623.47	29964.05
623.83	29929.25
624.18	30000.83
624.53	30081.08
624.89	30148.52
625.24	30208.64
625.59	30252.31
625.95	30280.91
626.3	30300.32
626.66	30316.13
627.01	30334.72
627.36	30362.97
627.72	30402.62
628.07	30447.88
628.42	30499.28
628.78	30563.84
629.13	30636.24
629.48	30704.5
629.84	30765.01
630.19	30816.91
630.54	30868.2
630.89	30932.53
631.25	31011.38
631.6	31101.74
631.95	31184.5
632.31	31229.4
632.66	31233.55
633.01	31208.21
633.36	31184.86
633.72	31213.99
634.07	31304.65
634.42	31437.9
634.78	31581.73
635.13	31684.23
635.48	31731.15
635.83	31740.68
636.19	31727.85
636.54	31717.33
636.89	31720.41
637.24	31728.6
637.6	31750.7
637.95	31801.64
638.3	31880.54
638.65	31983.94
639	32088.73
639.36	32156.06
639.71	32178
640.06	32164.76
640.41	32138.55
640.77	32141.33
641.12	32183.38
641.47	32239.76
641.82	32297
642.17	32360.32
642.53	32411.68
642.88	32400.3
643.23	32339.26
643.58	32325.77
643.93	32373.3
644.28	32391.07
644.64	32371.11
644.99	32538.9
645.34	32541.58
645.69	32650.98
646.04	32730.63
646.39	32754.48
646.74	32718.2
647.1	32602.2
647.45	32446.46
647.8	32472.13
648.15	32476.58
648.5	32516.04
648.85	32521.53
649.2	32571.79
649.55	32661.42
649.91	32722.83
650.26	32734.39
650.61	32820.27
650.96	32753.34
651.31	32711.23
651.66	32655.87
652.01	32642.53
652.36	32678.23
652.71	32751.13
653.06	32828.07
653.41	32846.76
653.76	32796.68
654.12	32702.86
654.47	32597.1
654.82	32530.09
655.17	32516.58
655.52	32536.09
655.87	32580.64
656.22	32638.15
656.57	32697.11
656.92	32761.11
657.27	32805.48
657.62	32789.23
657.97	32710.52
658.32	32585.51
658.67	32454.46
659.02	32384.5
659.37	32391.57
659.72	32452.05
660.07	32542.19
660.42	32622.11
660.77	32673.83
661.12	32708
661.47	32710.06
661.82	32665.89
662.17	32581.98
662.52	32449.95
662.87	32300.75
663.22	32279.8
663.57	32255.98
663.92	32319.67
664.27	32402.3
664.62	32483.86
664.97	32550.17
665.32	32533.28
665.66	32562
666.01	32502.89
666.36	32401.78
666.71	32261.54
667.06	32123.77
667.41	32054.72
667.76	32066.58
668.11	32141.71
668.46	32238.41
668.81	32286.36
669.16	32266.49
669.51	32200.82
669.85	32113.46
670.2	32044.17
670.55	32006.43
670.9	31985.09
671.25	31975.95
671.6	31974.64
671.95	31975.87
672.3	31981.62
672.64	31981.27
672.99	31958.9
673.34	31915.78
673.69	31842.85
674.04	31749.99
674.39	31696.32
674.73	31693.32
675.08	31570.5
675.43	31643.41
675.78	31594.93
676.13	31540.51
676.48	31633.22
676.82	31544.71
677.17	31521.13
677.52	31460.64
677.87	31382.17
678.22	31287.11
678.56	31207.84
678.91	31159.69
679.26	31093.73
679.61	31009.56
679.96	31118.87
680.3	31074.68
680.65	31142.13
681	31184.76
681.35	31175.27
681.69	31088.9
682.04	30981.88
682.39	30863.39
682.74	30683.12
683.08	30486.48
683.43	30411.43
683.78	30455.69
684.13	30488.82
684.47	30496.69
684.82	30549.82
685.17	30627
685.51	30622.54
685.86	30615.54
686.21	30468.8
686.56	30249.86
686.9	30084.82
687.25	29999.71
687.6	29936.21
687.94	29894.56
688.29	29899.46
688.64	29940.36
688.98	30000.81
689.33	30056.81
689.68	30068.87
690.02	30024.39
690.37	29937.35
690.72	29804.34
691.06	29622.43
691.41	29407.27
691.76	29170.7
692.1	28964.09
692.45	28867.84
692.8	28892.85
693.14	29007.65
693.49	29157.12
693.83	29249.26
694.18	29253.59
694.53	29196.99
694.87	29086.46
695.22	28937.37
695.57	28768.33
695.91	28576.44
696.26	28404.92
696.6	28328.59
696.95	28355.69
697.29	28452.69
697.64	28563.9
697.99	28612.88
698.33	28564.88
698.68	28411.37
699.02	28185.43
699.37	27978.24
699.71	27818.71
700.06	27673.2
700.41	27562.31
700.75	27530.62
701.1	27575.88
701.44	27679.09
701.79	27799.68
702.13	27869.69
702.48	27865.19
702.82	27800.54
703.17	27682.86
703.51	27527.94
703.86	27353.35
704.2	27165.13
704.55	26989.52
704.89	26867.94
705.24	26809.86
705.58	26802
705.93	26832.94
706.27	26880.32
706.62	26925.48
706.96	26965.88
707.31	26970.44
707.65	26892.16
708	26729.39
708.34	26504.68
708.68	26262.66
709.03	26074.44
709.37	25964.08
709.72	25917.16
710.06	25927.31
710.41	25958.51
710.75	26023.88
711.1	26097.2
711.44	26155.64
711.78	26129.96
712.13	26005.46
712.47	25866.77
712.82	25621.75
713.16	25419.39
713.5	25248.2
713.85	25108.61
714.19	25003.66
714.54	24938.36
714.88	24910.77
715.22	24907.86
715.57	24924.63
715.91	24968.89
716.25	25018.8
716.6	25025.88
716.94	24974.3
717.28	24879.21
717.63	24742.98
717.97	24557.63
718.31	24347.99
718.66	24164.49
719	24024.6
719.34	23919.43
719.69	23853.08
720.03	23828.25
720.37	23835.52
720.72	23866.55
721.06	23892.55
721.4	23868.5
721.75	23780.72
722.09	23637.94
722.43	23455.79
722.78	23262.98
723.12	23076.2
723.46	22898.68
723.8	22737.44
724.15	22599.77
724.49	22490.99
724.83	22413.82
725.17	22375.42
725.52	22383.73
725.86	22430.63
726.2	22500.68
726.54	22565.79
726.89	22585.41
727.23	22546.1
727.57	22456.7
727.91	22326.94
728.26	22175.52
728.6	22016.77
728.94	21854.55
729.28	21704.54
729.62	21588.99
729.97	21513.57
730.31	21473.19
730.65	21458.94
730.99	21453.95
731.33	21445.06
731.68	21426.63
732.02	21384.81
732.36	21301.35
732.7	21172.84
733.04	21006.16
733.38	20810.74
733.72	20603.13
734.07	20397.05
734.41	20199.11
734.75	20026.6
735.09	19902.04
735.43	19830.79
735.77	19807.94
736.11	19819.1
736.46	19839.1
736.8	19854.62
737.14	19862.91
737.48	19861.18
737.82	19849.31
738.16	19825.64
738.5	19787.9
738.84	19731.14
739.18	19649.51
739.52	19548.14
739.87	19437.11
740.21	19335.3
